Compound,Formula,IsotopeLabel
Arachidonic acid,C20H32O2,C13-label-16
Arachidonic acid,C20H32O2,C13-label-17
Arachidonic acid,C20H32O2,C13-label-18
Arachidonic acid,C20H32O2,C13-label-19
Arachidonic acid,C20H32O2,C13-label-20
Arg,C6H14N4O2,C12 PARENT
Arg,C6H14N4O2,C13-label-1
Arg,C6H14N4O2,C13-label-2
Arg,C6H14N4O2,C13-label-3
Arg,C6H14N4O2,C13-label-4
Arg,C6H14N4O2,C13-label-5
Arg,C6H14N4O2,C13-label-6
Arg-Suc,C10H18N4O6,C12 PARENT
Arg-Suc,C10H18N4O6,C13-label-1
Arg-Suc,C10H18N4O6,C13-label-2
Arg-Suc,C10H18N4O6,C13-label-3
Arg-Suc,C10H18N4O6,C13-label-4
Arg-Suc,C10H18N4O6,C13-label-5
Arg-Suc,C10H18N4O6,C13-label-6
Arg-Suc,C10H18N4O6,C13-label-7
Arg-Suc,C10H18N4O6,C13-label-8
Arg-Suc,C10H18N4O6,C13-label-9
Arg-Suc,C10H18N4O6,C13-label-10
Arginine,C6H14N4O2,C12 PARENT
Arginine,C6H14N4O2,C13-label-1
Arginine,C6H14N4O2,C13-label-2
Arginine,C6H14N4O2,C13-label-3
Arginine,C6H14N4O2,C13-label-4
Arginine,C6H14N4O2,C13-label-5
Arginine,C6H14N4O2,C13-label-6
Argininosuccinic acid,C10H18N4O6,C12 PARENT
Argininosuccinic acid,C10H18N4O6,C13-label-1
Argininosuccinic acid,C10H18N4O6,C13-label-2
Argininosuccinic acid,C10H18N4O6,C13-label-3
Argininosuccinic acid,C10H18N4O6,C13-label-4
Argininosuccinic acid,C10H18N4O6,C13-label-5
Argininosuccinic acid,C10H18N4O6,C13-label-6
Argininosuccinic acid,C10H18N4O6,C13-label-7
Argininosuccinic acid,C10H18N4O6,C13-label-8
Argininosuccinic acid,C10H18N4O6,C13-label-9
Argininosuccinic acid,C10H18N4O6,C13-label-10
Asin,C10H13N5O4,C12 PARENT
Asin,C10H13N5O4,C13-label-1
Asin,C10H13N5O4,C13-label-2
Asin,C10H13N5O4,C13-label-3
Asin,C10H13N5O4,C13-label-4
Asin,C10H13N5O4,C13-label-5
Asin,C10H13N5O4,C13-label-6
Asin,C10H13N5O4,C13-label-7
Asin,C10H13N5O4,C13-label-8
Asin,C10H13N5O4,C13-label-9
Asin,C10H13N5O4,C13-label-10
Asn,C4H8N2O3,C12 PARENT
Asn,C4H8N2O3,C13-label-1
Asn,C4H8N2O3,C13-label-2
Asn,C4H8N2O3,C13-label-3
Asn,C4H8N2O3,C13-label-4
Asp,C4H7NO4,C12 PARENT
Asp,C4H7NO4,C13-label-1
Asp,C4H7NO4,C13-label-2
Asp,C4H7NO4,C13-label-3
Asp,C4H7NO4,C13-label-4
Asparagine,C4H8N2O3,C12 PARENT
Asparagine,C4H8N2O3,C13-label-1
Asparagine,C4H8N2O3,C13-label-2
Asparagine,C4H8N2O3,C13-label-3
Asparagine,C4H8N2O3,C13-label-4
Aspartate,C4H7NO4,C12 PARENT
Aspartate,C4H7NO4,C13-label-1
Aspartate,C4H7NO4,C13-label-2
Aspartate,C4H7NO4,C13-label-3
Aspartate,C4H7NO4,C13-label-4
ATP,C10H16N5O13P3,C12 PARENT
ATP,C10H16N5O13P3,C13-label-1
ATP,C10H16N5O13P3,C13-label-2
ATP,C10H16N5O13P3,C13-label-3
ATP,C10H16N5O13P3,C13-label-4
ATP,C10H16N5O13P3,C13-label-5
ATP,C10H16N5O13P3,C13-label-6
ATP,C10H16N5O13P3,C13-label-7
ATP,C10H16N5O13P3,C13-label-8
ATP,C10H16N5O13P3,C13-label-9
ATP,C10H16N5O13P3,C13-label-10
b-hydroxybutyryl coenzyme A ,C25H42N7O18P3S,C12 PARENT
b-hydroxybutyryl coenzyme A ,C25H42N7O18P3S,C13-label-1
b-hydroxybutyryl coenzyme A ,C25H42N7O18P3S,C13-label-2
b-hydroxybutyryl coenzyme A ,C25H42N7O18P3S,C13-label-3
b-hydroxybutyryl coenzyme A ,C25H42N7O18P3S,C13-label-4
b-hydroxybutyryl coenzyme A ,C25H42N7O18P3S,C13-label-5
b-hydroxybutyryl coenzyme A ,C25H42N7O18P3S,C13-label-6
b-hydroxybutyryl coenzyme A ,C25H42N7O18P3S,C13-label-7
b-hydroxybutyryl coenzyme A ,C25H42N7O18P3S,C13-label-8
b-hydroxybutyryl coenzyme A ,C25H42N7O18P3S,C13-label-9
b-hydroxybutyryl coenzyme A ,C25H42N7O18P3S,C13-label-10
b-hydroxybutyryl coenzyme A ,C25H42N7O18P3S,C13-label-11
b-hydroxybutyryl coenzyme A ,C25H42N7O18P3S,C13-label-12
b-hydroxybutyryl coenzyme A ,C25H42N7O18P3S,C13-label-13
b-hydroxybutyryl coenzyme A ,C25H42N7O18P3S,C13-label-14
b-hydroxybutyryl coenzyme A ,C25H42N7O18P3S,C13-label-15
b-hydroxybutyryl coenzyme A ,C25H42N7O18P3S,C13-label-16
b-hydroxybutyryl coenzyme A ,C25H42N7O18P3S,C13-label-17
b-hydroxybutyryl coenzyme A ,C25H42N7O18P3S,C13-label-18
b-hydroxybutyryl coenzyme A ,C25H42N7O18P3S,C13-label-19
b-hydroxybutyryl coenzyme A ,C25H42N7O18P3S,C13-label-20
b-hydroxybutyryl coenzyme A ,C25H42N7O18P3S,C13-label-21
b-hydroxybutyryl coenzyme A ,C25H42N7O18P3S,C13-label-22
b-hydroxybutyryl coenzyme A ,C25H42N7O18P3S,C13-label-23
b-hydroxybutyryl coenzyme A ,C25H42N7O18P3S,C13-label-24
b-hydroxybutyryl coenzyme A ,C25H42N7O18P3S,C13-label-25
Betaine,C5H11NO2,C12 PARENT
Betaine,C5H11NO2,C13-label-1
Betaine,C5H11NO2,C13-label-2
Betaine,C5H11NO2,C13-label-3
Betaine,C5H11NO2,C13-label-4
Betaine,C5H11NO2,C13-label-5
Biotin,C10H16N2O3S,C12 PARENT
Biotin,C10H16N2O3S,C13-label-1
Biotin,C10H16N2O3S,C13-label-2
Biotin,C10H16N2O3S,C13-label-3
Biotin,C10H16N2O3S,C13-label-4
Biotin,C10H16N2O3S,C13-label-5
Biotin,C10H16N2O3S,C13-label-6
Biotin,C10H16N2O3S,C13-label-7
Biotin,C10H16N2O3S,C13-label-8
Biotin,C10H16N2O3S,C13-label-9
Biotin,C10H16N2O3S,C13-label-10
But CoA,C25H42N7O17P3S,C12 PARENT
But CoA,C25H42N7O17P3S,C13-label-1
But CoA,C25H42N7O17P3S,C13-label-2
But CoA,C25H42N7O17P3S,C13-label-3
But CoA,C25H42N7O17P3S,C13-label-4
But CoA,C25H42N7O17P3S,C13-label-5
But CoA,C25H42N7O17P3S,C13-label-6
But CoA,C25H42N7O17P3S,C13-label-7
But CoA,C25H42N7O17P3S,C13-label-8
But CoA,C25H42N7O17P3S,C13-label-9
But CoA,C25H42N7O17P3S,C13-label-10
But CoA,C25H42N7O17P3S,C13-label-11
But CoA,C25H42N7O17P3S,C13-label-12
But CoA,C25H42N7O17P3S,C13-label-13
But CoA,C25H42N7O17P3S,C13-label-14
But CoA,C25H42N7O17P3S,C13-label-15
But CoA,C25H42N7O17P3S,C13-label-16
But CoA,C25H42N7O17P3S,C13-label-17
But CoA,C25H42N7O17P3S,C13-label-18
But CoA,C25H42N7O17P3S,C13-label-19
But CoA,C25H42N7O17P3S,C13-label-20
But CoA,C25H42N7O17P3S,C13-label-21
But CoA,C25H42N7O17P3S,C13-label-22
But CoA,C25H42N7O17P3S,C13-label-23
But CoA,C25H42N7O17P3S,C13-label-24
But CoA,C25H42N7O17P3S,C13-label-25
Butytyl coenzyme A,C25H42N7O17P3S,C12 PARENT
Butytyl coenzyme A,C25H42N7O17P3S,C13-label-1
Butytyl coenzyme A,C25H42N7O17P3S,C13-label-2
Butytyl coenzyme A,C25H42N7O17P3S,C13-label-3
Butytyl coenzyme A,C25H42N7O17P3S,C13-label-4
Butytyl coenzyme A,C25H42N7O17P3S,C13-label-5
Butytyl coenzyme A,C25H42N7O17P3S,C13-label-6
Butytyl coenzyme A,C25H42N7O17P3S,C13-label-7
Butytyl coenzyme A,C25H42N7O17P3S,C13-label-8
Butytyl coenzyme A,C25H42N7O17P3S,C13-label-9
Butytyl coenzyme A,C25H42N7O17P3S,C13-label-10
Butytyl coenzyme A,C25H42N7O17P3S,C13-label-11
Butytyl coenzyme A,C25H42N7O17P3S,C13-label-12
Butytyl coenzyme A,C25H42N7O17P3S,C13-label-13
Butytyl coenzyme A,C25H42N7O17P3S,C13-label-14
Butytyl coenzyme A,C25H42N7O17P3S,C13-label-15
Butytyl coenzyme A,C25H42N7O17P3S,C13-label-16
Butytyl coenzyme A,C25H42N7O17P3S,C13-label-17
Butytyl coenzyme A,C25H42N7O17P3S,C13-label-18
Butytyl coenzyme A,C25H42N7O17P3S,C13-label-19
Butytyl coenzyme A,C25H42N7O17P3S,C13-label-20
Butytyl coenzyme A,C25H42N7O17P3S,C13-label-21
Butytyl coenzyme A,C25H42N7O17P3S,C13-label-22
Butytyl coenzyme A,C25H42N7O17P3S,C13-label-23
Butytyl coenzyme A,C25H42N7O17P3S,C13-label-24
Butytyl coenzyme A,C25H42N7O17P3S,C13-label-25
cAMP,C10H12N5O6P,C12 PARENT
cAMP,C10H12N5O6P,C13-label-1
cAMP,C10H12N5O6P,C13-label-2
cAMP,C10H12N5O6P,C13-label-3
cAMP,C10H12N5O6P,C13-label-4
cAMP,C10H12N5O6P,C13-label-5
cAMP,C10H12N5O6P,C13-label-6
cAMP,C10H12N5O6P,C13-label-7
cAMP,C10H12N5O6P,C13-label-8
cAMP,C10H12N5O6P,C13-label-9
cAMP,C10H12N5O6P,C13-label-10
Carbamoyl-Asp,C5H8N2O5,C12 PARENT
Carbamoyl-Asp,C5H8N2O5,C13-label-1
Carbamoyl-Asp,C5H8N2O5,C13-label-2
Carbamoyl-Asp,C5H8N2O5,C13-label-3
Carbamoyl-Asp,C5H8N2O5,C13-label-4
Carbamoyl-Asp,C5H8N2O5,C13-label-5
Carn,C7H15NO3,C12 PARENT
Carn,C7H15NO3,C13-label-1
Carn,C7H15NO3,C13-label-2
Carn,C7H15NO3,C13-label-3
Carn,C7H15NO3,C13-label-4
Carn,C7H15NO3,C13-label-5
Carn,C7H15NO3,C13-label-6
Carn,C7H15NO3,C13-label-7
Carnitine,C7H15NO3,C12 PARENT
Carnitine,C7H15NO3,C13-label-1
Carnitine,C7H15NO3,C13-label-2
Carnitine,C7H15NO3,C13-label-3
Carnitine,C7H15NO3,C13-label-4
Carnitine,C7H15NO3,C13-label-5
Carnitine,C7H15NO3,C13-label-6
Carnitine,C7H15NO3,C13-label-7
Cdin,C9H13N3O5,C12 PARENT
Cdin,C9H13N3O5,C13-label-1
Cdin,C9H13N3O5,C13-label-2
Cdin,C9H13N3O5,C13-label-3
Cdin,C9H13N3O5,C13-label-4
Cdin,C9H13N3O5,C13-label-5
Cdin,C9H13N3O5,C13-label-6
Cdin,C9H13N3O5,C13-label-7
Cdin,C9H13N3O5,C13-label-8
Cdin,C9H13N3O5,C13-label-9
CDP,C9H15N3O11P2,C12 PARENT
CDP,C9H15N3O11P2,C13-label-1
CDP,C9H15N3O11P2,C13-label-2
CDP,C9H15N3O11P2,C13-label-3
CDP,C9H15N3O11P2,C13-label-4
CDP,C9H15N3O11P2,C13-label-5
CDP,C9H15N3O11P2,C13-label-6
CDP,C9H15N3O11P2,C13-label-7
CDP,C9H15N3O11P2,C13-label-8
CDP,C9H15N3O11P2,C13-label-9
Cellobiose,C12H22O11,C12 PARENT
Cellobiose,C12H22O11,C13-label-1
Cellobiose,C12H22O11,C13-label-2
Cellobiose,C12H22O11,C13-label-3
Cellobiose,C12H22O11,C13-label-4
Cellobiose,C12H22O11,C13-label-5
Cellobiose,C12H22O11,C13-label-6
Cellobiose,C12H22O11,C13-label-7
Cellobiose,C12H22O11,C13-label-8
Cellobiose,C12H22O11,C13-label-9
Cellobiose,C12H22O11,C13-label-10
Cellobiose,C12H22O11,C13-label-11
Cellobiose,C12H22O11,C13-label-12
cGMP,C10H12N5O7P,C12 PARENT
cGMP,C10H12N5O7P,C13-label-1
cGMP,C10H12N5O7P,C13-label-2
cGMP,C10H12N5O7P,C13-label-3
cGMP,C10H12N5O7P,C13-label-4
cGMP,C10H12N5O7P,C13-label-5
cGMP,C10H12N5O7P,C13-label-6
cGMP,C10H12N5O7P,C13-label-7
cGMP,C10H12N5O7P,C13-label-8
cGMP,C10H12N5O7P,C13-label-9
cGMP,C10H12N5O7P,C13-label-10
Choline,C5H13NO,C12 PARENT
Choline,C5H13NO,C13-label-1
Choline,C5H13NO,C13-label-2
Choline,C5H13NO,C13-label-3
Choline,C5H13NO,C13-label-4
Choline,C5H13NO,C13-label-5
Cirulline,C6H13N3O3,C12 PARENT
Cirulline,C6H13N3O3,C13-label-1
Cirulline,C6H13N3O3,C13-label-2
Cirulline,C6H13N3O3,C13-label-3
Cirulline,C6H13N3O3,C13-label-4
Cirulline,C6H13N3O3,C13-label-5
Cirulline,C6H13N3O3,C13-label-6
cis-Aconiate,C6H6O6,C12 PARENT
cis-Aconiate,C6H6O6,C13-label-1
cis-Aconiate,C6H6O6,C13-label-2
cis-Aconiate,C6H6O6,C13-label-3
cis-Aconiate,C6H6O6,C13-label-4
cis-Aconiate,C6H6O6,C13-label-5
cis-Aconiate,C6H6O6,C13-label-6
cis-Aconitate,C6H6O6,C12 PARENT
cis-Aconitate,C6H6O6,C13-label-1
cis-Aconitate,C6H6O6,C13-label-2
cis-Aconitate,C6H6O6,C13-label-3
cis-Aconitate,C6H6O6,C13-label-4
cis-Aconitate,C6H6O6,C13-label-5
cis-Aconitate,C6H6O6,C13-label-6
Cit,C6H8O7,C12 PARENT
Cit,C6H8O7,C13-label-1
Cit,C6H8O7,C13-label-2
Cit,C6H8O7,C13-label-3
Cit,C6H8O7,C13-label-4
Cit,C6H8O7,C13-label-5
Cit,C6H8O7,C13-label-6
Citrate,C6H8O7,C12 PARENT
Citrate,C6H8O7,C13-label-1
Citrate,C6H8O7,C13-label-2
Citrate,C6H8O7,C13-label-3
Citrate,C6H8O7,C13-label-4
Citrate,C6H8O7,C13-label-5
Citrate,C6H8O7,C13-label-6
Citrulline,C6H13N3O3,C12 PARENT
Citrulline,C6H13N3O3,C13-label-1
Citrulline,C6H13N3O3,C13-label-2
Citrulline,C6H13N3O3,C13-label-3
Citrulline,C6H13N3O3,C13-label-4
Citrulline,C6H13N3O3,C13-label-5
Citrulline,C6H13N3O3,C13-label-6
CMP,C9H14N3O8P,C12 PARENT
CMP,C9H14N3O8P,C13-label-1
CMP,C9H14N3O8P,C13-label-2
CMP,C9H14N3O8P,C13-label-3
CMP,C9H14N3O8P,C13-label-4
CMP,C9H14N3O8P,C13-label-5
CMP,C9H14N3O8P,C13-label-6
CMP,C9H14N3O8P,C13-label-7
CMP,C9H14N3O8P,C13-label-8
CMP,C9H14N3O8P,C13-label-9
CoA,C21H36N7O16P3S,C12 PARENT
CoA,C21H36N7O16P3S,C13-label-1
CoA,C21H36N7O16P3S,C13-label-2
CoA,C21H36N7O16P3S,C13-label-3
CoA,C21H36N7O16P3S,C13-label-4
CoA,C21H36N7O16P3S,C13-label-5
CoA,C21H36N7O16P3S,C13-label-6
CoA,C21H36N7O16P3S,C13-label-7
CoA,C21H36N7O16P3S,C13-label-8
CoA,C21H36N7O16P3S,C13-label-9
CoA,C21H36N7O16P3S,C13-label-10
CoA,C21H36N7O16P3S,C13-label-11
CoA,C21H36N7O16P3S,C13-label-12
CoA,C21H36N7O16P3S,C13-label-13
CoA,C21H36N7O16P3S,C13-label-14
CoA,C21H36N7O16P3S,C13-label-15
CoA,C21H36N7O16P3S,C13-label-16
CoA,C21H36N7O16P3S,C13-label-17
CoA,C21H36N7O16P3S,C13-label-18
CoA,C21H36N7O16P3S,C13-label-19
CoA,C21H36N7O16P3S,C13-label-20
CoA,C21H36N7O16P3S,C13-label-21
Coenzyme A,C21H36N7O16P3S,C12 PARENT
Coenzyme A,C21H36N7O16P3S,C13-label-1
Coenzyme A,C21H36N7O16P3S,C13-label-2
Coenzyme A,C21H36N7O16P3S,C13-label-3
Coenzyme A,C21H36N7O16P3S,C13-label-4
Coenzyme A,C21H36N7O16P3S,C13-label-5
Coenzyme A,C21H36N7O16P3S,C13-label-6
Coenzyme A,C21H36N7O16P3S,C13-label-7
Coenzyme A,C21H36N7O16P3S,C13-label-8
Coenzyme A,C21H36N7O16P3S,C13-label-9
Coenzyme A,C21H36N7O16P3S,C13-label-10
Coenzyme A,C21H36N7O16P3S,C13-label-11
Coenzyme A,C21H36N7O16P3S,C13-label-12
Coenzyme A,C21H36N7O16P3S,C13-label-13
Coenzyme A,C21H36N7O16P3S,C13-label-14
Coenzyme A,C21H36N7O16P3S,C13-label-15
Coenzyme A,C21H36N7O16P3S,C13-label-16
Coenzyme A,C21H36N7O16P3S,C13-label-17
Coenzyme A,C21H36N7O16P3S,C13-label-18
Coenzyme A,C21H36N7O16P3S,C13-label-19
Coenzyme A,C21H36N7O16P3S,C13-label-20
Coenzyme A,C21H36N7O16P3S,C13-label-21
Creatine,C4H9N3O2,C12 PARENT
Creatine,C4H9N3O2,C13-label-1
Creatine,C4H9N3O2,C13-label-2
Creatine,C4H9N3O2,C13-label-3
Creatine,C4H9N3O2,C13-label-4
Cro CoA,C25H40N7O17P3S,C12 PARENT
Cro CoA,C25H40N7O17P3S,C13-label-1
Cro CoA,C25H40N7O17P3S,C13-label-2
Cro CoA,C25H40N7O17P3S,C13-label-3
Cro CoA,C25H40N7O17P3S,C13-label-4
Cro CoA,C25H40N7O17P3S,C13-label-5
Cro CoA,C25H40N7O17P3S,C13-label-6
Cro CoA,C25H40N7O17P3S,C13-label-7
Cro CoA,C25H40N7O17P3S,C13-label-8
Cro CoA,C25H40N7O17P3S,C13-label-9
Cro CoA,C25H40N7O17P3S,C13-label-10
Cro CoA,C25H40N7O17P3S,C13-label-11
Cro CoA,C25H40N7O17P3S,C13-label-12
Cro CoA,C25H40N7O17P3S,C13-label-13
Cro CoA,C25H40N7O17P3S,C13-label-14
Cro CoA,C25H40N7O17P3S,C13-label-15
Cro CoA,C25H40N7O17P3S,C13-label-16
Cro CoA,C25H40N7O17P3S,C13-label-17
Cro CoA,C25H40N7O17P3S,C13-label-18
Cro CoA,C25H40N7O17P3S,C13-label-19
Cro CoA,C25H40N7O17P3S,C13-label-20
Cro CoA,C25H40N7O17P3S,C13-label-21
Cro CoA,C25H40N7O17P3S,C13-label-22
Cro CoA,C25H40N7O17P3S,C13-label-23
Cro CoA,C25H40N7O17P3S,C13-label-24
Cro CoA,C25H40N7O17P3S,C13-label-25
Crotonyl coenzyme A,C25H40N7O17P3S,C12 PARENT
Crotonyl coenzyme A,C25H40N7O17P3S,C13-label-1
Crotonyl coenzyme A,C25H40N7O17P3S,C13-label-2
Crotonyl coenzyme A,C25H40N7O17P3S,C13-label-3
Crotonyl coenzyme A,C25H40N7O17P3S,C13-label-4
Crotonyl coenzyme A,C25H40N7O17P3S,C13-label-5
Crotonyl coenzyme A,C25H40N7O17P3S,C13-label-6
Crotonyl coenzyme A,C25H40N7O17P3S,C13-label-7
Crotonyl coenzyme A,C25H40N7O17P3S,C13-label-8
Crotonyl coenzyme A,C25H40N7O17P3S,C13-label-9
Crotonyl coenzyme A,C25H40N7O17P3S,C13-label-10
Crotonyl coenzyme A,C25H40N7O17P3S,C13-label-11
Crotonyl coenzyme A,C25H40N7O17P3S,C13-label-12
Crotonyl coenzyme A,C25H40N7O17P3S,C13-label-13
Crotonyl coenzyme A,C25H40N7O17P3S,C13-label-14
Crotonyl coenzyme A,C25H40N7O17P3S,C13-label-15
Crotonyl coenzyme A,C25H40N7O17P3S,C13-label-16
Crotonyl coenzyme A,C25H40N7O17P3S,C13-label-17
Crotonyl coenzyme A,C25H40N7O17P3S,C13-label-18
Crotonyl coenzyme A,C25H40N7O17P3S,C13-label-19
Crotonyl coenzyme A,C25H40N7O17P3S,C13-label-20
Crotonyl coenzyme A,C25H40N7O17P3S,C13-label-21
Crotonyl coenzyme A,C25H40N7O17P3S,C13-label-22
Crotonyl coenzyme A,C25H40N7O17P3S,C13-label-23
Crotonyl coenzyme A,C25H40N7O17P3S,C13-label-24
Crotonyl coenzyme A,C25H40N7O17P3S,C13-label-25
CTP,C9H16N3O14P3,C12 PARENT
CTP,C9H16N3O14P3,C13-label-1
CTP,C9H16N3O14P3,C13-label-2
CTP,C9H16N3O14P3,C13-label-3
CTP,C9H16N3O14P3,C13-label-4
CTP,C9H16N3O14P3,C13-label-5
CTP,C9H16N3O14P3,C13-label-6
CTP,C9H16N3O14P3,C13-label-7
CTP,C9H16N3O14P3,C13-label-8
CTP,C9H16N3O14P3,C13-label-9
Cys,C3H7NO2S,C12 PARENT
Cys,C3H7NO2S,C13-label-1
Cys,C3H7NO2S,C13-label-2
Cys,C3H7NO2S,C13-label-3
Cys-Gly,C5H10N2O3S ,C12 PARENT
Cys-Gly,C5H10N2O3S ,C13-label-1
Cys-Gly,C5H10N2O3S ,C13-label-2
Cys-Gly,C5H10N2O3S ,C13-label-3
Cys-Gly,C5H10N2O3S ,C13-label-4
Cys-Gly,C5H10N2O3S ,C13-label-5
Cyst,C6H12N2O4S2,C12 PARENT
Cyst,C6H12N2O4S2,C13-label-1
Cyst,C6H12N2O4S2,C13-label-2
Cyst,C6H12N2O4S2,C13-label-3
Cyst,C6H12N2O4S2,C13-label-4
Cyst,C6H12N2O4S2,C13-label-5
Cyst,C6H12N2O4S2,C13-label-6
Cystathionine,C7H14N2O4S,C12 PARENT
Cystathionine,C7H14N2O4S,C13-label-1
Cystathionine,C7H14N2O4S,C13-label-2
Cystathionine,C7H14N2O4S,C13-label-3
Cystathionine,C7H14N2O4S,C13-label-4
Cystathionine,C7H14N2O4S,C13-label-5
Cystathionine,C7H14N2O4S,C13-label-6
Cystathionine,C7H14N2O4S,C13-label-7
Cysteic acid,C3H7NO5S,C12 PARENT
Cysteic acid,C3H7NO5S,C13-label-1
Cysteic acid,C3H7NO5S,C13-label-2
Cysteic acid,C3H7NO5S,C13-label-3
Cysteine,C3H7NO2S,C12 PARENT
Cysteine,C3H7NO2S,C13-label-1
Cysteine,C3H7NO2S,C13-label-2
Cysteine,C3H7NO2S,C13-label-3
Cysteine-glutathione disulfide,C13H22N4O8S2,C12 PARENT
Cysteine-glutathione disulfide,C13H22N4O8S2,C13-label-1
Cysteine-glutathione disulfide,C13H22N4O8S2,C13-label-2
Cysteine-glutathione disulfide,C13H22N4O8S2,C13-label-3
Cysteine-glutathione disulfide,C13H22N4O8S2,C13-label-4
Cysteine-glutathione disulfide,C13H22N4O8S2,C13-label-5
Cysteine-glutathione disulfide,C13H22N4O8S2,C13-label-6
Cysteine-glutathione disulfide,C13H22N4O8S2,C13-label-7
Cysteine-glutathione disulfide,C13H22N4O8S2,C13-label-8
Cysteine-glutathione disulfide,C13H22N4O8S2,C13-label-9
Cysteine-glutathione disulfide,C13H22N4O8S2,C13-label-10
Cysteine-glutathione disulfide,C13H22N4O8S2,C13-label-11
Cysteine-glutathione disulfide,C13H22N4O8S2,C13-label-12
Cysteine-glutathione disulfide,C13H22N4O8S2,C13-label-13
Cysteinyl-glycine,C5H10N2O3S ,C12 PARENT
Cysteinyl-glycine,C5H10N2O3S ,C13-label-1
Cysteinyl-glycine,C5H10N2O3S ,C13-label-2
Cysteinyl-glycine,C5H10N2O3S ,C13-label-3
Cysteinyl-glycine,C5H10N2O3S ,C13-label-4
Cysteinyl-glycine,C5H10N2O3S ,C13-label-5
Cystine,C6H12N2O4S2,C12 PARENT
Cystine,C6H12N2O4S2,C13-label-1
Cystine,C6H12N2O4S2,C13-label-2
Cystine,C6H12N2O4S2,C13-label-3
Cystine,C6H12N2O4S2,C13-label-4
Cystine,C6H12N2O4S2,C13-label-5
Cystine,C6H12N2O4S2,C13-label-6
Cyt,C4H5N3O,C12 PARENT
Cyt,C4H5N3O,C13-label-1
Cyt,C4H5N3O,C13-label-2
Cyt,C4H5N3O,C13-label-3
Cyt,C4H5N3O,C13-label-4
Cytidine,C9H13N3O5,C12 PARENT
Cytidine,C9H13N3O5,C13-label-1
Cytidine,C9H13N3O5,C13-label-2
Cytidine,C9H13N3O5,C13-label-3
Cytidine,C9H13N3O5,C13-label-4
Cytidine,C9H13N3O5,C13-label-5
Cytidine,C9H13N3O5,C13-label-6
Cytidine,C9H13N3O5,C13-label-7
Cytidine,C9H13N3O5,C13-label-8
Cytidine,C9H13N3O5,C13-label-9
Cytidine 5?-diphosphate,C9H15N3O11P2,C12 PARENT
Cytidine 5?-diphosphate,C9H15N3O11P2,C13-label-1
Cytidine 5?-diphosphate,C9H15N3O11P2,C13-label-2
Cytidine 5?-diphosphate,C9H15N3O11P2,C13-label-3
Cytidine 5?-diphosphate,C9H15N3O11P2,C13-label-4
Cytidine 5?-diphosphate,C9H15N3O11P2,C13-label-5
Cytidine 5?-diphosphate,C9H15N3O11P2,C13-label-6
Cytidine 5?-diphosphate,C9H15N3O11P2,C13-label-7
Cytidine 5?-diphosphate,C9H15N3O11P2,C13-label-8
Cytidine 5?-diphosphate,C9H15N3O11P2,C13-label-9
Cytidine_MS1,C9H13N3O5,C12 PARENT
Cytidine_MS1,C9H13N3O5,C13-label-1
Cytidine_MS1,C9H13N3O5,C13-label-2
Cytidine_MS1,C9H13N3O5,C13-label-3
Cytidine_MS1,C9H13N3O5,C13-label-4
Cytidine_MS1,C9H13N3O5,C13-label-5
Cytidine_MS1,C9H13N3O5,C13-label-6
Cytidine_MS1,C9H13N3O5,C13-label-7
Cytidine_MS1,C9H13N3O5,C13-label-8
Cytidine_MS1,C9H13N3O5,C13-label-9
Cytosine,C4H5N3O,C12 PARENT
Cytosine,C4H5N3O,C13-label-1
Cytosine,C4H5N3O,C13-label-2
Cytosine,C4H5N3O,C13-label-3
Cytosine,C4H5N3O,C13-label-4
dAMP,C10H14N5O6P,C12 PARENT
dAMP,C10H14N5O6P,C13-label-1
dAMP,C10H14N5O6P,C13-label-2
dAMP,C10H14N5O6P,C13-label-3
dAMP,C10H14N5O6P,C13-label-4
dAMP,C10H14N5O6P,C13-label-5
dAMP,C10H14N5O6P,C13-label-6
dAMP,C10H14N5O6P,C13-label-7
dAMP,C10H14N5O6P,C13-label-8
dAMP,C10H14N5O6P,C13-label-9
dAMP,C10H14N5O6P,C13-label-10
dATP,C10H16N5O12P3,C12 PARENT
dATP,C10H16N5O12P3,C13-label-1
dATP,C10H16N5O12P3,C13-label-2
dATP,C10H16N5O12P3,C13-label-3
dATP,C10H16N5O12P3,C13-label-4
dATP,C10H16N5O12P3,C13-label-5
dATP,C10H16N5O12P3,C13-label-6
dATP,C10H16N5O12P3,C13-label-7
dATP,C10H16N5O12P3,C13-label-8
dATP,C10H16N5O12P3,C13-label-9
dATP,C10H16N5O12P3,C13-label-10
dCdin,C9H13N3O4,C12 PARENT
dCdin,C9H13N3O4,C13-label-1
dCdin,C9H13N3O4,C13-label-2
dCdin,C9H13N3O4,C13-label-3
dCdin,C9H13N3O4,C13-label-4
dCdin,C9H13N3O4,C13-label-5
dCdin,C9H13N3O4,C13-label-6
dCdin,C9H13N3O4,C13-label-7
dCdin,C9H13N3O4,C13-label-8
dCdin,C9H13N3O4,C13-label-9
dCMP,C9H14N3O7P,C12 PARENT
dCMP,C9H14N3O7P,C13-label-1
dCMP,C9H14N3O7P,C13-label-2
dCMP,C9H14N3O7P,C13-label-3
dCMP,C9H14N3O7P,C13-label-4
dCMP,C9H14N3O7P,C13-label-5
dCMP,C9H14N3O7P,C13-label-6
dCMP,C9H14N3O7P,C13-label-7
dCMP,C9H14N3O7P,C13-label-8
