"Peptide","Precursor Mz","NN_Cell_7_05 Area","NN_Cell_8_07 Area","NN_Cell_11_04 Area","NN_Cell_3_08 Area","NN_Cell_6_06 Area","NN_Cell_10_09 Area","NN_Cell_QC_1_02 Area","NN_Cell_QC_2_03 Area","NN_Cell_QC_3_10 Area","NN_Cell_Blank_2_13 Area"
"NADP+",759.12521,0,0,0,0,0,0,0,0,0,0
"NADP+",760.128565,0,2471,0,311,0,0,0,0,0,0
"NADP+",761.13192,0,0,0,0,0,0,0,0,0,0
"NADP+",762.135274,0,0,0,0,0,0,0,0,0,0
"NADP+",763.138629,0,0,0,0,2259,0,0,0,0,0
"FAD",784.14986,1017906,661568,947781,604184,524113,306195,565597,617580,541173,0
"FAD",785.153214,266429,180029,270134,137120,111944,62436,141572,158825,138688,0
"FAD",786.156569,16293,8509,17098,10183,0,2850,6355,3440,14792,0
"FAD",787.159924,0,0,4817,0,0,0,0,0,0,0
"FAD",788.163279,0,0,0,2788,0,0,0,0,0,0
"FAD",789.166634,0,0,0,0,0,0,0,0,0,0
"FAD",790.169989,3468,0,0,0,0,0,0,0,0,0
"FAD",791.173343,0,0,0,0,0,0,0,0,0,0
"FAD",792.176698,0,0,0,0,0,0,0,0,0,0
"FAD",793.180053,0,0,0,0,0,0,0,2071,0,0
"FAD",794.183408,0,1194,0,0,878,0,0,0,0,0
"FAD",795.186763,0,0,0,0,0,0,397,0,0,0
"FAD",796.190118,0,0,0,0,0,0,0,0,0,0
"FAD",797.193472,0,0,0,0,0,0,0,0,0,0
"FAD",798.196827,0,0,0,0,0,4861,0,0,0,0
"FAD",799.200182,0,0,0,0,0,0,0,0,0,0
"FAD",800.203537,0,0,0,0,0,0,0,0,0,0
"FAD",801.206892,0,0,0,0,1066,0,0,0,0,0
"FAD",802.210247,0,0,0,0,0,0,0,0,0,0
"FAD",803.213602,0,0,0,0,0,0,0,0,313,0
"FAD",804.216956,0,0,0,0,0,1239,0,0,0,0
"FAD",805.220311,0,0,3295,0,0,0,0,0,0,0
"FAD",806.223666,0,0,0,0,0,0,0,0,0,0
"FAD",807.227021,0,0,0,0,0,0,0,0,0,0
"FAD",808.230376,0,0,0,0,0,0,0,0,0,0
"FAD",809.233731,0,0,0,0,0,0,0,0,0,0
"FAD",810.237085,0,0,0,0,0,0,0,0,0,0
"FAD",811.24044,0,0,0,0,0,0,0,0,0,0
"Succinate",117.019333,1380252,826855,922609,698108,960056,561624,742539,807334,721048,56286
"Succinate",118.022688,97854,42322,47673,37613,44185,22353,42495,26888,35335,8408
"Succinate",119.026042,63193,35148,36281,63749,63121,52972,40364,54128,58890,114034
"Succinate",120.029397,4706,0,0,1560,0,675,3441,764,1645,891
"Succinate",121.032752,1232344,595125,883744,696331,633837,528576,633747,592188,605419,380
"Asparagine",131.046216,267252,438794,419509,422532,406901,248047,394437,406150,386728,43241
"Asparagine",132.049571,0,5078,0,2398,0,0,0,0,0,443
"Asparagine",133.052926,2509,5268,0,2046,951,2286,1840,2905,1833,0
"Asparagine",134.056281,31674,17331,24207,25674,25845,15632,18408,26853,16515,0
"Asparagine",135.059636,152002,105063,128124,128723,141139,91812,121661,120848,109149,0
"Glutathione",306.07653,21677256,615504,20357440,5657029,5612038,115241,2316442,2056161,1659838,7366
"Glutathione",307.079885,1800405,36287,1620804,495299,539573,1026,206206,171336,149813,0
"Glutathione",308.08324,297996,0,214783,58843,63682,1300,15413,14382,25989,0
"Glutathione",309.086595,1459613,19545,974086,325415,344349,0,123898,108681,96053,0
"Glutathione",310.089949,407201,3201,327294,105705,108103,0,29750,29827,26517,0
"Glutathione",311.093304,10784308,311916,8736271,2639404,2727063,24153,1113012,959474,914055,0
"Glutathione",312.096659,369960,0,309018,89151,98392,0,23977,31113,19559,491
"Glutathione",313.100014,0,0,1618,1476,0,0,0,0,0,0
"Glutathione",314.103369,0,0,0,0,0,0,0,0,0,0
"Glutathione",315.106724,0,0,0,0,0,0,0,0,0,423
"Glutathione",316.110078,2467,0,0,1666,1668,0,1239,0,0,0
